category,has_experience,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,category_encoded
HR,1,0.4578418215951458,-0.05194505962407298,0.1995205347691391,-1.293542206001687e-05,-0.18864981945008824,-0.01917751613628433,-0.07891539442476246,0.34782118965448305,0.06226624788547752,0.19208558322456976,36
HR,0,0.49928060275851643,-0.0985868973453981,0.003651468721042123,-0.10495261779093927,0.030187271125931326,0.03286056984431486,-0.1523061126660055,0.1170684834859194,-0.05379261297652668,-0.04127481142672697,36
HR,0,0.42935218421916077,-0.07235735672395768,0.05118746988721105,-0.03162645715313359,0.028465864495303698,0.02513429708419724,-0.1665560515652633,0.19911003710716063,0.008754185352448035,0.0566161290974089,36
HR,0,0.39804436956933176,-0.11107641538820265,0.03433919417403574,-0.1067812835563418,0.0443197824054905,0.04558006950177157,-0.15640746580812712,0.26087419777980136,0.014479736445049643,0.13592474064876872,36
HR,0,0.3941808933885152,-0.08761135146171538,-0.07876062889506483,-0.09848408420288608,-0.05298271595046441,0.03534425417473833,-0.08524239956135624,0.14243012307161887,-0.007458130486683718,0.08210483552712122,36
HR,1,0.3383231890227755,-0.08513186855380847,0.09285894685949087,-0.1300971622452122,-0.08378162901369261,0.03853872526849865,-0.16113776093189972,0.3553596342005704,-0.0024077015039610603,0.13435024217277736,36
HR,1,0.40252290849908684,0.0040676987832476705,0.06844293680478292,0.03773457833187642,-0.15396372053016036,0.018541226459783983,-0.13587065457797703,0.47638594430617065,0.09327763495490486,0.2604543871814708,36
HR,1,0.4137428787517665,-0.02922400520848885,0.006708617906768305,-0.17877531583630643,-0.0031708520262462483,0.03357300263589652,-0.14150677286595004,0.133977155903031,-0.020643454356107736,0.037554233408577185,36
HR,0,0.4658839683585055,0.00943071685817126,0.14994165932238562,-0.1544343685185625,-0.14152318952440557,-0.11167288956521318,0.01876547162022329,0.24562833934208372,-0.08068005344863585,0.241570635445261,36
HR,0,0.4905793056628421,-0.097333718273597,0.19735113705276947,-0.12042402567914905,-0.10251618790353595,0.06593390530568186,-0.07672884598214023,0.2981490393958982,-0.00737847600430829,0.1040612918704512,36
HR,0,0.3734259410831252,-0.02557889051020576,0.05884049112653028,0.07840762963792522,-0.15286471450376346,0.005746264282165921,-0.1229936991965235,0.4150353266273438,0.06650769172884372,0.17859394750008842,36
HR,1,0.37564314197059223,0.006456332795195351,0.10172139167823527,-0.09018713086941384,-0.09481397809257996,0.04378691688031418,-0.10744837037043731,0.3812912039069478,0.08174217284815181,0.2282277232754623,36
HR,0,0.3931664980232863,-0.013168906471408852,0.11044532901290369,0.0787192348799205,-0.10394306950946858,-0.0050681652814972295,-0.03694111396570974,0.21848463446522315,0.01977110055973324,0.11552321965896498,36
HR,1,0.5061259749268454,-0.0014449576668154908,0.06132301745212417,-0.09925122382987352,-0.03471919116129903,0.007481677573676472,-0.12131958670683152,0.2850047337759549,-0.006302760129333861,0.12987905645129297,36
HR,0,0.4464551874289186,-0.05657097852715438,0.0823003331495125,-0.11727489568176286,-0.0902544094384131,0.060059442677630796,-0.1785977868010066,0.2752950758108725,0.0379671857151666,0.12543928166521834,36
DESIGNER,1,0.37435975081158407,0.12365401651358601,-0.058701682255396376,-0.041966740979255214,-0.026042824071639797,-0.18811663204597545,0.15597309933513623,-0.09313565446775318,-0.10483923634859758,0.10797618113126846,21
DESIGNER,0,0.35205753923301175,0.05860467068624698,-0.09477427216301484,0.11620623780886824,-0.04219979063571234,-0.07234776292654496,0.10000454314597744,-0.07443074091177362,-0.05196221552451105,0.05908951553235228,21
DESIGNER,0,0.2876604406747674,0.041483880321733016,-0.10945241931678842,-0.036329663301880886,-0.045861828930701856,0.05206699019003258,0.07909022329034096,-0.04894595236366885,0.08563025841444495,-0.035544459825252575,21
DESIGNER,0,0.32665115109071297,0.07098063534133783,-0.08807718490649737,-0.006880682194603714,-0.06108032628615954,-0.11382693730937499,0.12356760849080774,-0.12380318297952714,-0.07263003578003181,0.036740195888323106,21
DESIGNER,0,0.2079179986103156,0.07880536420273265,-0.11328590193628059,0.04803151086846662,-0.10642436378179879,-0.04768716497307768,0.11187661297253496,-0.14119985508480926,-0.052695225269432586,-0.025284449486246273,21
DESIGNER,0,0.24311985713573797,0.09492755653013397,-0.13138293192945855,0.057919459836410656,-0.11525180297651234,-0.005846408736109055,0.12350063202567083,-0.15060829945124168,-0.04446034511327444,-0.005414027419218167,21
DESIGNER,0,0.4082256149192804,0.25441729342037556,-0.09689329877457217,-0.028723983006072314,-0.13887755151122422,0.023936604161529873,0.031362388080683104,-0.055030702497292604,-0.014576742372811851,-0.011456903769509504,21
DESIGNER,0,0.3678685337127539,0.05384632636660682,-0.01327834183662505,0.02135881340353493,0.022240809255153253,-0.018769022388977995,0.011653321864447475,-0.08318336611281399,0.02408280185306736,-0.01231179942354118,21
DESIGNER,0,0.32083913805260283,0.16692268188532744,-0.07509834460173845,-0.04552856298847119,-0.09189915919033108,-0.22024477842449514,0.1497620010482181,-0.12211420906742056,-0.11834222916859999,0.13534469447068453,21
DESIGNER,0,0.45958548862695625,0.09468630908940441,-0.11249698265645951,-0.13655371888207218,-0.06742429873165197,-0.2513025604468657,0.19057633434407711,-0.06847125680169794,-0.1360934991979475,0.1457319492186657,21
DESIGNER,0,0.37017848519693963,0.27468200542340176,0.03545282029630854,0.0225627746509853,0.05823908935830661,-0.037163285791726265,-0.068398195731006,-0.07122491972783909,0.055317724312559914,-0.13990699029323778,21
DESIGNER,1,0.3049285316437937,-0.11932058546212115,-0.12435967672083598,0.06178303796376275,0.15324295097612253,-0.0641396554047644,-0.00637657297413792,-0.06570409208956954,-0.023536476890465823,0.10050239022626717,21
DESIGNER,1,0.2553926930684448,0.09306637113710924,-0.039719546104286865,-0.06403063634122844,-0.0784275446726553,0.01557253913520994,-0.05407603924458599,0.03312317577477747,-0.04887767229714696,-0.05071973581232723,21
DESIGNER,0,0.45686534884772945,0.10639676103451426,-0.14294932914154837,-0.1024919894198512,-0.1874900770274868,0.11306318278100784,0.023375430741529583,-0.09387670505743258,-0.0203187063227051,0.03705269728808056,21
DESIGNER,1,0.27572286352758324,0.31762431724414947,0.020211468240280073,-0.06069850501613261,0.03421164253107964,-0.11195251218194685,-0.0415358198982306,-0.08948099087722845,0.10976415925982841,-0.008727003775573453,21
DESIGNER,0,0.4299706409663848,-0.0032211161577408057,-0.03592218199347601,-0.14817774181879656,-0.14242610663650376,0.2231139932788768,0.007097225042212407,-0.14741964999456286,-0.013969420587849453,-0.04517927707910851,21
DESIGNER,1,0.41761931937561414,0.2045173638399537,-0.1096682260300577,-0.06829757902607653,-0.1363176786271728,-0.19383459775367765,0.16038660185224163,-0.18976478869932376,-0.11790270708015925,0.09443458304466515,21
DESIGNER,0,0.38195403775101316,-0.05205707199795187,-0.09980978876560538,-0.15773980945600438,-0.09068059561256553,0.07991709777074207,-0.11737519563383587,0.08253285093759687,-0.1082961578044972,-0.0750778428776483,21
DESIGNER,0,0.32666831879823877,0.3432067536246557,0.031050858893717306,-0.07269406682584625,0.01777126037970497,0.004338080892568891,-0.12904393926736427,-0.020276335706225685,0.09232881962031193,-0.18642657508752933,21
DESIGNER,0,0.38597892931425204,0.09325835997490288,-0.03527261084976646,0.06001252220261127,-0.04946635506494847,-0.1294093878201106,0.08495765119138604,-0.04940347212745429,-0.10908600627310754,0.11888251485048729,21
DESIGNER,0,0.2061063414960001,-0.010194803812588926,-0.10672098443314824,0.018997488296925324,-0.07416059153578354,-0.023131919858194804,0.05088170711275571,-0.11134930841484339,0.02824151648630895,0.05077772872186563,21
DESIGNER,1,0.4227805472390628,0.1548804392159214,-0.13832438718109036,-0.09164677663784347,0.0015342425320343015,-0.12740929315450733,0.12024107154092081,-0.10335008213339977,-0.115344166530324,0.04100089964635242,21
DESIGNER,0,0.2995847842399893,0.26923339366607923,0.00533994543903467,-0.04177333187901336,-0.012270389572718234,-0.0235282377108712,-0.04240861331177752,-0.04223810202539178,0.0643752209827133,-0.061525104824770964,21
DESIGNER,0,0.22186036487092642,-0.0014539735755008734,-0.10901544955547393,-0.025155099954361944,-0.021703766617827268,-0.021971647876194038,0.10337590011858086,-0.11113159664592043,-0.027051086352997182,0.019091826315309812,21
